DrugName,ChemicalComposition,Description
Methoxsalen, C12H8O4,A furocoumarin used to treat psoriasis and vitiligo.
Methoxyflurane, C3H4Cl2F2O,For use in the induction and maintenance of general anesthesia
Methoxyphenamine, C11H17NO,
Methscopolamine, C18H24NO4,Methscopolamine is a quaternary ammonium derivative of scopolamine and antagonist at muscarininc (mACh) receptors. Methscopolamine bromide is the most common form of the active ingredient in oral pharmaceutical products. The...
Magnesium acetate tetrahydrate, C4H14MgO8,An ionic compound used for electrolyte replenishment and total parenteral nutrition (TPN) therapy.
Magnesium Aluminum Silicate,,"Magnesium aluminum silicate is used as an over the counter antacid for the self-treatment of heartburn, sour stomach, or acid indigestion [FDA Label]."
Magnesium ascorbate, C12H14MgO12,
Magnesium carbonate, CMgO3,"An antacid used for symptomatic relief of heartburn, indigestion, and upset stomach."
Magnesium cation, Mg,"Magnesium hydroxide is used primarily in ""Milk of Magnesia"", a white aqueous, mildly alkaline suspension of magnesium hydroxide formulated at about 8%w/v. Milk of magnesia is primarily used to alleviate..."
Magnesium chloride, Cl2Mg,An ionic compound and source of magnesium used for electrolyte replenishment and conditions associated with magnesium deficiencies.
Magnesium citrate, C12H10Mg3O14,A laxative used in bowel preparation for colonoscopy or as a magnesium supplement.
Magnesium gluconate, C12H26MgO16,A mineral supplement used to treat or prevent hypomagnesemia.
Magnesium glycinate, C4H8MgN2O4,Magnesium glycinate is a magnesium salt of glycine that is available as dietary supplements as a source of magnesium. It is used in the treatment of magnesium deficiency.
Magnesium hydroxide, H2MgO2,An inorganic compound used as a laxative and antacid.
Magnesium malate, C4H4MgO5,
Magnesium oxide, MgO,"A compound commonly used as a laxative for the symptomatic relief of acid indigestion and upset stomach, and in health supplements for cardiovascular and neuromuscular health."
Magnesium silicate, MgO3Si,"Magnesium silicate is used to absorb moisture, prevent caking, and to improve the feel of a product. In the pharmaceutical companies, it is used as a dietary supplement, as part..."
Magnesium sulfate, MgO4S,"A drug used to treat convulsions during pregnancy, nephritis in children, magnesium deficiency, and tetany."
Magnesium trisilicate, Mg2O8Si3,An antacid used for the symptomatic treatment of peptic ulcers.
Malathion, C10H19O6PS2,A parasympathomimetic organophosphate used to treat head lice.
Mandelic acid, C8H8O3,"Mandelic acid is an approved aromatic, alpha hydroxy acid . Mandelic acid is used as an ingredient in cosmetics and drug products applied topically."
Mangafodipir, C22H30MnN4O14P2,An organ-specific paramagnetic contrast agent indicated for the imaging of the hepatobiliary system and detecting lesions in the liver and pancreas.
Manganese cation, Mn,A transition metal used for supplementation of manganese during Total Parenteral Nutrition (TPN).
Manganese citrate, C12H10Mn3O14,
Manganese gluconate, C12H22MnO14,An ingredient found in a variety of supplements and vitamins.
Manidipine, C35H38N4O6,A dihydropyridine calcium channel blocker used to treat hypertension.
Mannitol, C6H14O6,"A sugar alcohol used to test for asthma, to reduce intracranial and intraocular pressure, to measure glomerular filtration rate, and to manage pulmonary symptoms associated with cystic fibrosis."
Mannitol busulfan, C8H18O10S2,"Mm has been used in trials studying the treatment of Cocaine Dependence and Diabetes Mellitus, Type 2."
Maprotiline, C20H23N,"A tetracyclic antidepressant used to treat depressive illness, major depressive disorder, bipolar disorder, and anxiety associated with depression."
Nafarelin, C66H83N17O13,A gonadotropin releasing hormone agonist used to treat central precocious puberty.
Nafcillin, C21H22N2O5S,A penicillin derivative antibiotic used to treat susceptible staphylococcal infections.
Naftazone, C11H9N3O2,"A naphthoquinone derivative indicated in the treatment of varicose veins, hemorrhoids, and superficial thrombophlebitis."
Naftifine, C21H21N,"An antifungal agent used to treat infections of the Tinea, Trichophyton, and Epidermophyton species."
Methscopolamine bromide, C18H24BrNO4,"A muscarinic antagonist used to treat peptic ulcers, nausea, vomiting, and motion sickness."
Methsuximide, C12H13NO2,A succinimide anticonvulsant that increases the seizure threshold. Primarily used for childhood absence seizures. Functions by suppressing paroxysmal spike-and-wave patterns associated with lapses of consciousness in absence seizures.
Methyl aminolevulinate, C6H11NO3,"A porphyrin precursor used to treat non-hyperkeratotic, non-pigmented actinic keratosis of the face and scalp."
Methyl nicotinate, C7H7NO2,A methyl ester of niacin used to treat muscle and joint pain.
Nalbuphine, C21H27NO4,"An opioid agonist-antagonist used to treat pain, for pre and postoperative analgesia, and for analgesia in labor and delivery."
Naldemedine, C32H34N4O6,An opioid antagonist used to to treat opioid-induced constipation.
Nalidixic acid, C12H12N2O3,A quinolone antibiotic used to treat urinary tract infections.
Nalmefene, C21H25NO3,An opioid antagonist used to reduce alcohol consumption in adults with alcohol dependence and treat and prevent opioid overdose.
Naloxegol, C34H53NO11,A peripherally-selective opioid antagonist used to treat opioid-induced constipation (OIC) in adult patients with chronic non-cancer pain.
Naloxone, C19H21NO4,An opioid receptor antagonist used to rapidly reverse an opioid overdose. Also included in some drug formulations as an abuse deterrent to prevent injection.
Naltrexone, C20H23NO4,A narcotic antagonist used in opioid overdose.
Nandrolone decanoate, C28H44O3,An anabolic steroid indicated for the management of the anemia of renal insufficiency by increasing hemoglobin and red cell mass.
Methyl salicylate, C8H8O3,"A topical counter-irritant used for the symptomatic relief of acute musculoskeletal pain in the muscles, joints, and tendons."
Methylcellulose,,A compound used as a bulk forming laxative and is not an approved medication.
Methylchloroisothiazolinone, C4H4ClNOS,Methylchloroisothiazolinone is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
Methyldopa, C10H13NO4,"A centrally-acting alpha-2 adrenergic agonist used to manage hypertension alone or in combination with hydrochlorothiazide, and to treat hypertensive crises."
Methylene blue, C16H18ClN3S,An oxidation-reduction agent used for the treatment of pediatric and adult patients with acquired methemoglobinemia.
Methylergometrine, C20H25N3O2,An ergot alkaloid used to prevent and control uterine atony and hemorrhage before and after delivery.
Methylnaltrexone, C21H26NO4,A μ-opioid antagonist used for the treatment of opioid-induced constipation in palliative patients that are inadequately responding to laxative therapy.
Methylparaben, C8H8O3,Methylparaben is used in allergenic testing.
Methylphenidate, C14H19NO2,A stimulant used in the management of Attention Deficit Hyperactivity Disorder (ADHD).
Nandrolone phenpropionate, C27H34O3,"For the treatment of refractory deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin III deficiency, fibrinogen excess, growth failure and Turner's syndrome. It is also indicated in the..."
Naphazoline, C14H14N2,"A sympathomimetic vasoconstrictor used for the symptomatic relief of redness and itching of the eye, and nasal congestion."
Naproxen, C14H14O3,"An NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, polyarticular juvenile idiopathic arthritis, tendinitis, bursitis, acute gout, primary dysmenorrhea, and mild to moderate pain."
Naratriptan, C17H25N3O2S,A 5-HT1B/1D receptor agonist used to treat migraines.
Natamycin, C33H47NO13,A macrolide antifungal used to treat fungal infections of the eye.
Nateglinide, C19H27NO3,A meglitinide used to treat non insulin dependent diabetes mellitus.
NBI-98782,,
Nebivolol, C22H25F2NO4,A beta blocking agent used to treat hypertension and aid in the management of heart failure.
Methylphenobarbital, C13H14N2O3,"For the relief of anxiety, tension, and apprehension, also used as an anticonvulsant for the treatment of epilepsy."
Methylprednisolone, C22H30O5,"A corticosteroid used to treat inflammation or immune reactions across a variety of organ systems, endocrine conditions, and neoplastic diseases."
Methylprednisolone aceponate, C27H36O7,A corticosteroid indicated in the treatment of corticosteroid-responsive dermatoses.
Methylprednisolone hemisuccinate, C26H34O8,"A water soluble corticosteroid used to treat severe allergic reactions, dermatologic diseases, endocrine disorders, gastrointestinal diseases, hematological disorders, neoplastic diseases, nervous system conditions, ophthalmic diseases, renal diseases, respiratory diseases, and rheumatic disorders."
Methylprednisone, C22H28O5,"Methylprednisone has been used in trials studying the treatment of Leukemia, Rheumatoid Arthritis, Renal Transplantation, Kidney Transplantation, and Acute Lymphocytic Leukemia, among others."
Methyltestosterone, C20H30O2,"A synthetic anabolic steroid used for the replacement therapy in conditions associated with testosterone deficiencies in males, such as hypogonadism, and treatment of advancing inoperable metastatic breast cancer in females."
Methyprylon, C10H17NO2,For the treatment of insomnia.
Methysergide, C21H27N3O2,An ergot alkaloid used for the prophylaxis of migraine and cluster headaches.
Nedaplatin, C2H8N2O3Pt,"Used in the treatment of non-small cell lung cancer, small cell lung cancer, oesophygeal cancer, and head and neck cancers ."
Nedocromil, C19H17NO7,A pyrano quinoline used to treat allergic conjunctivitis.
Nefazodone, C25H32ClN5O2,An antidepressant used in the treatment of depression.
Nefopam, C17H19NO,"A non-opioid analgesic used for moderate to severe pain, especially post-surgical pain."
Nelarabine, C11H15N5O5,A purine nucleoside analog and antineoplastic agent used for the treatment of with acute T-cell lymphoblastic leukemia and T-cell lymphoblastic lymphoma with inadequate clinical response to prior chemotherapeutic treatments.
Meticillin, C17H20N2O6S,"Used to treat infections caused by susceptible Gram-positive bacteria, particularly beta-lactamase-producing organisms such as Staphylococcus aureus that would otherwise be resistant to most penicillins."
Meticrane, C10H13NO4S2,Meticrane is a diuretic medication. It has been marketed in Japan under the trade name Arresten and is used to lower blood pressure .
Metipranolol, C17H27NO4,A beta-adrenergic antagonist used for the reduction of elevated intraocular pressure in patients with ocular hypertension or open-angle glaucoma.
Metixene, C20H23NS,Used for the symptomatic treatment of parkinsonism.
Lubiprostone, C20H32F2O5,A prostaglandin derivative used to treat constipation caused by irritable bowel syndrome and opioid-use.
Luliconazole, C14H9Cl2N3S2,A topical antifungal agent used to treat fungal infections.
Lumacaftor, C24H18F2N2O5,A protein chaperone used in combination with ivacaftor for the treatment of cystic fibrosis in patients who are homozygous for the F508del mutation in the CFTR gene.
Lumateperone, C24H28FN3O,A novel 2nd generation antipsychotic used to manage both positive and negative symptoms in patients with schizophrenia.
Lumefantrine, C30H32Cl3NO,An antimalarial agent used in combination with artemether for the treatment of acute uncomplicated malaria caused by Plasmodium falciparum.
